Clock Rate is 1
1,1678251347.589518,0
2,1678251348.59273,0
3,1678251349.593222,0
4,1678251350.597295,0
5,1678251351.601928,0
6,1678251352.604507,0
7,1678251353.6047559,0
10,1678251354.6093209,0
11,1678251355.6129332,0
18,1678251356.616163,0
19,1678251357.616822,0
20,1678251358.621353,0
21,1678251359.622977,0
22,1678251360.624722,0
28,1678251361.627232,0
29,1678251362.6276789,0
31,1678251363.6278641,2
32,1678251364.632499,1
33,1678251365.6344478,0
37,1678251366.634659,1
38,1678251367.634868,0
41,1678251368.63605,1
42,1678251369.636493,1
44,1678251370.636642,0
45,1678251371.637227,0
46,1678251372.638803,0
48,1678251373.643268,0
49,1678251374.645966,0
56,1678251375.6502311,0
57,1678251376.652967,0
58,1678251377.657024,0
59,1678251378.661658,0
60,1678251379.662225,0
61,1678251380.6648371,0
62,1678251381.667739,0
69,1678251382.6725461,0
70,1678251383.67501,0
73,1678251384.679116,0
76,1678251385.681251,0
77,1678251386.6822798,0
78,1678251387.686829,0
79,1678251388.690838,0
80,1678251389.69534,0
81,1678251390.700497,0
82,1678251391.7032928,0
90,1678251392.706785,1
91,1678251393.710256,0
94,1678251394.7143521,0
95,1678251395.7147179,0
96,1678251396.718703,0
97,1678251397.723288,0
102,1678251398.72782,0
103,1678251399.7320058,0
106,1678251400.736775,0
107,1678251401.740869,0
109,1678251402.745675,0
112,1678251403.748982,0
113,1678251404.752583,1
114,1678251405.756376,0
117,1678251406.761141,0
119,1678251407.7651808,0
120,1678251408.770765,0
121,1678251409.7736871,0
122,1678251410.7779999,0
123,1678251411.782104,0
124,1678251412.785484,0
125,1678251413.786292,0
126,1678251414.789521,0
127,1678251415.789997,0
129,1678251416.7949991,0
