Clock Rate is 2
Received message. Global Time: 1678250606.069346, Message Queue Length: 10, Logical Clock Time: 214
Received message. Global Time: 1678250606.0693681, Message Queue Length: 9, Logical Clock Time: 215
Received message. Global Time: 1678250607.0701802, Message Queue Length: 8, Logical Clock Time: 217
Received message. Global Time: 1678250607.07021, Message Queue Length: 7, Logical Clock Time: 218
Received message. Global Time: 1678250608.075362, Message Queue Length: 10, Logical Clock Time: 219
Received message. Global Time: 1678250608.075383, Message Queue Length: 9, Logical Clock Time: 221
Received message. Global Time: 1678250609.0765991, Message Queue Length: 9, Logical Clock Time: 222
Received message. Global Time: 1678250609.0766091, Message Queue Length: 8, Logical Clock Time: 225
Received message. Global Time: 1678250610.080211, Message Queue Length: 7, Logical Clock Time: 231
Received message. Global Time: 1678250610.080238, Message Queue Length: 6, Logical Clock Time: 234
Received message. Global Time: 1678250611.0833092, Message Queue Length: 9, Logical Clock Time: 235
Received message. Global Time: 1678250611.083333, Message Queue Length: 8, Logical Clock Time: 238
Received message. Global Time: 1678250612.085742, Message Queue Length: 7, Logical Clock Time: 239
Received message. Global Time: 1678250612.08577, Message Queue Length: 6, Logical Clock Time: 242
Received message. Global Time: 1678250613.088459, Message Queue Length: 7, Logical Clock Time: 243
Received message. Global Time: 1678250613.0884879, Message Queue Length: 6, Logical Clock Time: 246
Received message. Global Time: 1678250614.092361, Message Queue Length: 8, Logical Clock Time: 262
Received message. Global Time: 1678250614.092413, Message Queue Length: 7, Logical Clock Time: 263
Received message. Global Time: 1678250615.09479, Message Queue Length: 7, Logical Clock Time: 264
Received message. Global Time: 1678250615.094867, Message Queue Length: 6, Logical Clock Time: 265
Received message. Global Time: 1678250616.099892, Message Queue Length: 6, Logical Clock Time: 267
Received message. Global Time: 1678250616.099916, Message Queue Length: 5, Logical Clock Time: 274
Received message. Global Time: 1678250617.100915, Message Queue Length: 9, Logical Clock Time: 276
Received message. Global Time: 1678250617.100937, Message Queue Length: 8, Logical Clock Time: 277
Received message. Global Time: 1678250618.104987, Message Queue Length: 8, Logical Clock Time: 281
Received message. Global Time: 1678250618.105013, Message Queue Length: 7, Logical Clock Time: 286
Received message. Global Time: 1678250619.108599, Message Queue Length: 9, Logical Clock Time: 294
Received message. Global Time: 1678250619.1088781, Message Queue Length: 8, Logical Clock Time: 295
Received message. Global Time: 1678250620.10918, Message Queue Length: 8, Logical Clock Time: 296
Received message. Global Time: 1678250620.109188, Message Queue Length: 7, Logical Clock Time: 297
Received message. Global Time: 1678250621.112309, Message Queue Length: 6, Logical Clock Time: 298
Received message. Global Time: 1678250621.112324, Message Queue Length: 5, Logical Clock Time: 300
Received message. Global Time: 1678250622.113334, Message Queue Length: 4, Logical Clock Time: 301
Received message. Global Time: 1678250622.113348, Message Queue Length: 3, Logical Clock Time: 309
Received message. Global Time: 1678250623.1154938, Message Queue Length: 5, Logical Clock Time: 310
Received message. Global Time: 1678250623.11552, Message Queue Length: 4, Logical Clock Time: 311
Received message. Global Time: 1678250624.1190882, Message Queue Length: 6, Logical Clock Time: 315
Received message. Global Time: 1678250624.119114, Message Queue Length: 5, Logical Clock Time: 327
Received message. Global Time: 1678250625.120945, Message Queue Length: 8, Logical Clock Time: 329
Received message. Global Time: 1678250625.12097, Message Queue Length: 7, Logical Clock Time: 332
Received message. Global Time: 1678250626.124539, Message Queue Length: 7, Logical Clock Time: 337
Received message. Global Time: 1678250626.124554, Message Queue Length: 6, Logical Clock Time: 339
Received message. Global Time: 1678250627.128464, Message Queue Length: 7, Logical Clock Time: 341
Received message. Global Time: 1678250627.128489, Message Queue Length: 6, Logical Clock Time: 345
Received message. Global Time: 1678250628.132282, Message Queue Length: 6, Logical Clock Time: 346
Received message. Global Time: 1678250628.1323001, Message Queue Length: 5, Logical Clock Time: 347
Received message. Global Time: 1678250629.135264, Message Queue Length: 5, Logical Clock Time: 348
Received message. Global Time: 1678250629.135314, Message Queue Length: 4, Logical Clock Time: 352
Received message. Global Time: 1678250630.138453, Message Queue Length: 6, Logical Clock Time: 355
Received message. Global Time: 1678250630.138475, Message Queue Length: 5, Logical Clock Time: 358
Received message. Global Time: 1678250631.140409, Message Queue Length: 4, Logical Clock Time: 361
Received message. Global Time: 1678250631.140438, Message Queue Length: 3, Logical Clock Time: 368
Received message. Global Time: 1678250632.145601, Message Queue Length: 3, Logical Clock Time: 372
Received message. Global Time: 1678250632.145625, Message Queue Length: 2, Logical Clock Time: 374
Received message. Global Time: 1678250633.150794, Message Queue Length: 3, Logical Clock Time: 376
Received message. Global Time: 1678250633.150822, Message Queue Length: 2, Logical Clock Time: 388
Received message. Global Time: 1678250634.154036, Message Queue Length: 1, Logical Clock Time: 392
Received message. Global Time: 1678250634.15418, Message Queue Length: 0, Logical Clock Time: 393
Received message. Global Time: 1678250635.157705, Message Queue Length: 0, Logical Clock Time: 404
Internal event. System Time: 1678250635.1577501, Logical Clock Time: 405
Internal event. System Time: 1678250636.160851, Logical Clock Time: 406
Internal event. System Time: 1678250636.160875, Logical Clock Time: 407
Received message. Global Time: 1678250637.1609962, Message Queue Length: 0, Logical Clock Time: 419
Internal event. System Time: 1678250637.161025, Logical Clock Time: 420
Received message. Global Time: 1678250638.165898, Message Queue Length: 1, Logical Clock Time: 423
Received message. Global Time: 1678250638.166364, Message Queue Length: 0, Logical Clock Time: 424
Received message. Global Time: 1678250639.170203, Message Queue Length: 0, Logical Clock Time: 428
Sent client 1. System Time: 1678250639.170332, Logical Clock Time: 429
Received message. Global Time: 1678250640.172881, Message Queue Length: 4, Logical Clock Time: 430
Received message. Global Time: 1678250640.172908, Message Queue Length: 3, Logical Clock Time: 434
Received message. Global Time: 1678250641.173558, Message Queue Length: 3, Logical Clock Time: 436
Received message. Global Time: 1678250641.173611, Message Queue Length: 2, Logical Clock Time: 437
Received message. Global Time: 1678250642.177175, Message Queue Length: 5, Logical Clock Time: 438
Received message. Global Time: 1678250642.177192, Message Queue Length: 4, Logical Clock Time: 444
Received message. Global Time: 1678250643.178862, Message Queue Length: 3, Logical Clock Time: 445
Received message. Global Time: 1678250643.178887, Message Queue Length: 2, Logical Clock Time: 446
Received message. Global Time: 1678250644.179698, Message Queue Length: 1, Logical Clock Time: 447
Received message. Global Time: 1678250644.17973, Message Queue Length: 0, Logical Clock Time: 449
